Survival Rate,Year,Race,Gender,Cancer Type
0.922,2001,All races,total,Skin
0.931,2006,All races,total,Skin
0.936,2013,All races,total,Skin
,1963,Black,females,Skin
,1973,Black,females,Skin
,1977,Black,females,Skin
,1980,Black,females,Skin
,1983,Black,females,Skin
,1986,Black,females,Skin
0.895,1989,Black,females,Skin
,1992,Black,females,Skin
,1995,Black,females,Skin
0.786,1998,Black,females,Skin
0.761,2001,Black,females,Skin
0.745,2006,Black,females,Skin
0.749,2013,Black,females,Skin
,1963,Black,males,Skin
,1973,Black,males,Skin
,1977,Black,males,Skin
,1980,Black,males,Skin
,1983,Black,males,Skin
,1986,Black,males,Skin
,1989,Black,males,Skin
,1992,Black,males,Skin
0.666,1995,Black,males,Skin
0.68,1998,Black,males,Skin
0.696,2001,Black,males,Skin
0.7,2006,Black,males,Skin
0.595,2013,Black,males,Skin
,1963,Black,total,Skin
,1973,Black,total,Skin
0.567,1977,Black,total,Skin
0.598,1980,Black,total,Skin
0.619,1983,Black,total,Skin
0.723,1986,Black,total,Skin
0.786,1989,Black,total,Skin
0.596,1992,Black,total,Skin
0.695,1995,Black,total,Skin
0.739,1998,Black,total,Skin
0.732,2001,Black,total,Skin
0.729,2006,Black,total,Skin
0.69,2013,Black,total,Skin
0.68,1963,White,females,Skin
0.75,1973,White,females,Skin
0.862,1977,White,females,Skin
0.879,1980,White,females,Skin
0.872,1983,White,females,Skin
0.91,1986,White,females,Skin
0.913,1989,White,females,Skin
0.918,1992,White,females,Skin
0.926,1995,White,females,Skin
0.927,1998,White,females,Skin
0.946,2001,White,females,Skin
0.954,2006,White,females,Skin
0.957,2013,White,females,Skin
0.51,1963,White,males,Skin
0.62,1973,White,males,Skin
0.777,1977,White,males,Skin
0.779,1980,White,males,Skin
0.784,1983,White,males,Skin
0.822,1986,White,males,Skin
0.849,1989,White,males,Skin
0.871,1992,White,males,Skin
0.871,1995,White,males,Skin
0.893,1998,White,males,Skin
0.902,2001,White,males,Skin
0.914,2006,White,males,Skin
0.919,2013,White,males,Skin
0.6,1963,White,total,Skin
0.68,1973,White,total,Skin
0.82,1977,White,total,Skin
0.829,1980,White,total,Skin
0.827,1983,White,total,Skin
0.864,1986,White,total,Skin
0.879,1989,White,total,Skin
0.893,1992,White,total,Skin
0.896,1995,White,total,Skin
0.909,1998,White,total,Skin
0.922,2001,White,total,Skin
0.932,2006,White,total,Skin
0.936,2013,White,total,Skin
0.166,1977,All races,females,Stomach
0.189,1980,All races,females,Stomach
0.187,1983,All races,females,Stomach
0.209,1986,All races,females,Stomach
0.243,1989,All races,females,Stomach
0.254,1992,All races,females,Stomach
0.226,1995,All races,females,Stomach
0.242,1998,All races,females,Stomach
0.252,2001,All races,females,Stomach
0.308,2006,All races,females,Stomach
0.346,2013,All races,females,Stomach
0.144,1977,All races,males,Stomach
0.143,1980,All races,males,Stomach
0.164,1983,All races,males,Stomach
0.155,1986,All races,males,Stomach
0.17,1989,All races,males,Stomach
0.181,1992,All races,males,Stomach
0.201,1995,All races,males,Stomach
0.21,1998,All races,males,Stomach
0.234,2001,All races,males,Stomach
0.261,2006,All races,males,Stomach
0.289,2013,All races,males,Stomach
0.152,1977,All races,total,Stomach
0.161,1980,All races,total,Stomach
0.172,1983,All races,total,Stomach
0.176,1986,All races,total,Stomach
0.197,1989,All races,total,Stomach
0.209,1992,All races,total,Stomach
0.21,1995,All races,total,Stomach
0.223,1998,All races,total,Stomach
0.241,2001,All races,total,Stomach
0.279,2006,All races,total,Stomach
0.311,2013,All races,total,Stomach
0.14,1963,Black,females,Stomach
0.1,1973,Black,females,Stomach
0.161,1977,Black,females,Stomach
0.18,1980,Black,females,Stomach
0.167,1983,Black,females,Stomach
0.221,1986,Black,females,Stomach
0.225,1989,Black,females,Stomach
0.237,1992,Black,females,Stomach
0.219,1995,Black,females,Stomach
0.253,1998,Black,females,Stomach
0.207,2001,Black,females,Stomach
0.349,2006,Black,females,Stomach
0.385,2013,Black,females,Stomach
0.05,1963,Black,males,Stomach
0.15,1973,Black,males,Stomach
0.161,1977,Black,males,Stomach
0.156,1980,Black,males,Stomach
0.162,1983,Black,males,Stomach
0.169,1986,Black,males,Stomach
0.166,1989,Black,males,Stomach
0.22,1992,Black,males,Stomach
0.175,1995,Black,males,Stomach
0.204,1998,Black,males,Stomach
0.25,2001,Black,males,Stomach
0.236,2006,Black,males,Stomach
0.257,2013,Black,males,Stomach
0.08,1963,Black,total,Stomach
0.13,1973,Black,total,Stomach
0.161,1977,Black,total,Stomach
0.164,1980,Black,total,Stomach
0.164,1983,Black,total,Stomach
0.191,1986,Black,total,Stomach
0.188,1989,Black,total,Stomach
0.227,1992,Black,total,Stomach
0.193,1995,Black,total,Stomach
0.226,1998,Black,total,Stomach
0.232,2001,Black,total,Stomach
0.286,2006,Black,total,Stomach
0.314,2013,Black,total,Stomach
0.13,1963,White,females,Stomach
0.14,1973,White,females,Stomach
0.158,1977,White,females,Stomach
0.182,1980,White,females,Stomach
0.175,1983,White,females,Stomach
0.209,1986,White,females,Stomach
0.231,1989,White,females,Stomach
0.232,1992,White,females,Stomach
0.219,1995,White,females,Stomach
0.232,1998,White,females,Stomach
0.244,2001,White,females,Stomach
0.293,2006,White,females,Stomach
0.331,2013,White,females,Stomach
0.1,1963,White,males,Stomach
0.12,1973,White,males,Stomach
0.131,1977,White,males,Stomach
0.136,1980,White,males,Stomach
0.154,1983,White,males,Stomach
0.143,1986,White,males,Stomach
0.155,1989,White,males,Stomach
0.161,1992,White,males,Stomach
0.189,1995,White,males,Stomach
0.186,1998,White,males,Stomach
0.21,2001,White,males,Stomach
0.255,2006,White,males,Stomach
0.281,2013,White,males,Stomach
0.11,1963,White,total,Stomach
0.13,1973,White,total,Stomach
0.141,1977,White,total,Stomach
0.154,1980,White,total,Stomach
0.162,1983,White,total,Stomach
0.168,1986,White,total,Stomach
0.183,1989,White,total,Stomach
0.188,1992,White,total,Stomach
0.2,1995,White,total,Stomach
0.203,1998,White,total,Stomach
0.223,2001,White,total,Stomach
0.269,2006,White,total,Stomach
0.299,2013,White,total,Stomach
0.925,1977,All races,females,Thyroid
0.936,1980,All races,females,Thyroid
0.939,1983,All races,females,Thyroid
0.943,1986,All races,females,Thyroid
0.952,1989,All races,females,Thyroid
0.955,1992,All races,females,Thyroid
0.967,1995,All races,females,Thyroid
0.969,1998,All races,females,Thyroid
0.971,2001,All races,females,Thyroid
0.984,2006,All races,females,Thyroid
0.987,2013,All races,females,Thyroid
0.911,1977,All races,males,Thyroid
0.872,1980,All races,males,Thyroid
0.922,1983,All races,males,Thyroid
0.898,1986,All races,males,Thyroid
0.916,1989,All races,males,Thyroid
0.905,1992,All races,males,Thyroid
0.916,1995,All races,males,Thyroid
0.91,1998,All races,males,Thyroid
0.943,2001,All races,males,Thyroid
0.949,2006,All races,males,Thyroid
0.962,2013,All races,males,Thyroid
0.921,1977,All races,total,Thyroid
0.921,1980,All races,total,Thyroid
0.936,1983,All races,total,Thyroid
0.932,1986,All races,total,Thyroid
0.944,1989,All races,total,Thyroid
0.943,1992,All races,total,Thyroid
0.954,1995,All races,total,Thyroid
0.956,1998,All races,total,Thyroid
0.965,2001,All races,total,Thyroid
0.976,2006,All races,total,Thyroid
0.982,2013,All races,total,Thyroid
,1963,Black,females,Thyroid
,1973,Black,females,Thyroid
0.91,1977,Black,females,Thyroid
0.955,1980,Black,females,Thyroid
0.932,1983,Black,females,Thyroid
0.903,1986,Black,females,Thyroid
0.923,1989,Black,females,Thyroid
0.862,1992,Black,females,Thyroid
0.943,1995,Black,females,Thyroid
0.964,1998,Black,females,Thyroid
0.924,2001,Black,females,Thyroid
0.967,2006,Black,females,Thyroid
0.979,2013,Black,females,Thyroid
,1963,Black,males,Thyroid
,1973,Black,males,Thyroid
,1977,Black,males,Thyroid
0.68,1980,Black,males,Thyroid
1,1983,Black,males,Thyroid
0.855,1986,Black,males,Thyroid
0.912,1989,Black,males,Thyroid
0.845,1992,Black,males,Thyroid
0.878,1995,Black,males,Thyroid
0.865,1998,Black,males,Thyroid
0.884,2001,Black,males,Thyroid
0.95,2006,Black,males,Thyroid
0.908,2013,Black,males,Thyroid
,1963,Black,total,Thyroid
,1973,Black,total,Thyroid
0.899,1977,Black,total,Thyroid
0.902,1980,Black,total,Thyroid
0.964,1983,Black,total,Thyroid
0.893,1986,Black,total,Thyroid
0.923,1989,Black,total,Thyroid
0.858,1992,Black,total,Thyroid
0.932,1995,Black,total,Thyroid
0.95,1998,Black,total,Thyroid
0.92,2001,Black,total,Thyroid
0.966,2006,Black,total,Thyroid
0.969,2013,Black,total,Thyroid
0.87,1963,White,females,Thyroid
0.87,1973,White,females,Thyroid
0.922,1977,White,females,Thyroid
0.927,1980,White,females,Thyroid
0.937,1983,White,females,Thyroid
0.944,1986,White,females,Thyroid
0.949,1989,White,females,Thyroid
0.96,1992,White,females,Thyroid
0.969,1995,White,females,Thyroid
0.973,1998,White,females,Thyroid
0.974,2001,White,females,Thyroid
0.985,2006,White,females,Thyroid
0.99,2013,White,females,Thyroid
0.75,1963,White,males,Thyroid
0.82,1973,White,males,Thyroid
0.907,1977,White,males,Thyroid
0.875,1980,White,males,Thyroid
0.909,1983,White,males,Thyroid
0.894,1986,White,males,Thyroid
0.915,1989,White,males,Thyroid
0.916,1992,White,males,Thyroid
0.915,1995,White,males,Thyroid
0.913,1998,White,males,Thyroid
0.95,2001,White,males,Thyroid
0.951,2006,White,males,Thyroid
0.965,2013,White,males,Thyroid
0.83,1963,White,total,Thyroid
0.86,1973,White,total,Thyroid
0.918,1977,White,total,Thyroid
0.915,1980,White,total,Thyroid
0.931,1983,White,total,Thyroid
0.932,1986,White,total,Thyroid
0.941,1989,White,total,Thyroid
0.949,1992,White,total,Thyroid
0.956,1995,White,total,Thyroid
0.959,1998,White,total,Thyroid
0.969,2001,White,total,Thyroid
0.978,2006,White,total,Thyroid
0.984,2013,White,total,Thyroid
